time_stamp,charging,TOU,energy_per_time_slot (kWh),cost_per_time_slot (p)
2019-10-21 23:30:00,30.0,6.593999999999999,1.4369537860215054,9.475273265025805
2019-10-22 00:00:00,30.0,5.88,1.4369537623655921,8.449288122709682
2019-10-22 01:30:00,30.0,5.88,1.4369537430107528,8.449288008903226
2019-10-22 02:30:00,30.0,5.67,1.436953733333333,8.147527667999999
2019-10-22 03:30:00,30.0,5.544,1.436953709677419,7.96647136645161
2019-10-22 04:30:00,27.299999999999997,6.93,1.306829569892474,9.056328919354844
2019-10-22 11:00:00,29.283333333333335,6.93,1.4026264731182774,9.720201458709662
2019-10-23 01:30:00,12.616666666666667,4.935,0.6043189204301075,2.9823138723225804
2019-10-24 00:00:00,23.96666666666667,5.187,1.1479664483870962,5.954501967783868
2019-10-24 21:30:00,30.0,5.67,1.4369538247311828,8.147528186225806
