SOC,Current,Voltage,Power,Energy_kWh,Charge_level
30.71757035,7.440002275,380.4456783,2830.516712,6771.341122,5774.903226
30.7210148,7.440002275,380.4465386,2830.523113,6772.127378,5775.550782
30.72445925,7.440002275,380.4473988,2830.529513,6772.913636,5776.198339
30.72790369,7.440002275,380.4482588,2830.535911,6773.699896,5776.845894
30.73134814,7.440002275,380.4491187,2830.542309,6774.486158,5777.49345
30.73479258,7.440002275,380.4499784,2830.548705,6775.272422,5778.141005
30.73823703,7.440002275,380.4508379,2830.555099,6776.058687,5778.788562
30.74168147,7.440002275,380.4516973,2830.561493,6776.844954,5779.436116
30.74512592,7.440002275,380.4525564,2830.567885,6777.631223,5780.083673
30.74857036,7.440002275,380.4534155,2830.574276,6778.417493,5780.731228
30.75201481,7.440002275,380.4542743,2830.580666,6779.203766,5781.378784
30.75545926,7.440002274,380.455133,2830.587055,6779.99004,5782.026341
30.7589037,7.440002274,380.4559915,2830.593442,6780.776316,5782.673896
30.76234815,7.440002274,380.4568498,2830.599828,6781.562594,5783.321452
30.76579259,7.440002274,380.457708,2830.606213,6782.348873,5783.969007
30.76923704,7.440002274,380.458566,2830.612596,6783.135154,5784.616564
30.77268148,7.440002274,380.4594239,2830.618979,6783.921438,5785.264118
30.77612593,7.440002274,380.4602815,2830.62536,6784.707722,5785.911675
30.77957037,7.440002274,380.461139,2830.63174,6785.494009,5786.55923
30.78301482,7.440002274,380.4619964,2830.638118,6786.280297,5787.206786
30.78645926,7.440002274,380.4628535,2830.644495,6787.066587,5787.854341
30.78990371,7.440002274,380.4637105,2830.650872,6787.852879,5788.501897
30.79334816,7.440002274,380.4645674,2830.657246,6788.639173,5789.149454
30.7967926,7.440002273,380.4654241,2830.66362,6789.425468,5789.797009
30.80023705,7.440002273,380.4662806,2830.669992,6790.211766,5790.444565
30.80368149,7.440002273,380.4671369,2830.676363,6790.998065,5791.09212
30.80712594,7.440002273,380.4679931,2830.682733,6791.784365,5791.739677
30.81057038,7.440002273,380.4688491,2830.689102,6792.570668,5792.387231
30.81401483,7.440002273,380.4697049,2830.695469,6793.356972,5793.034788
30.81745927,7.440002273,380.4705606,2830.701835,6794.143278,5793.682343
30.82090372,7.440002273,380.4714161,2830.7082,6794.929586,5794.329899
30.82434817,7.440002273,380.4722714,2830.714564,6795.715896,5794.977456
30.82779261,7.440002273,380.4731266,2830.720926,6796.502207,5795.625011
30.83123706,7.440002273,380.4739816,2830.727287,6797.28852,5796.272567
30.8346815,7.440002273,380.4748364,2830.733647,6798.074835,5796.920122
30.83812595,7.440002272,380.4756911,2830.740006,6798.861152,5797.567679
30.84157039,7.440002272,380.4765456,2830.746363,6799.64747,5798.215233
30.84501484,7.440002272,380.4773999,2830.75272,6800.43379,5798.86279
30.84845928,7.440002272,380.4782541,2830.759075,6801.220112,5799.510345
30.85190373,7.440002272,380.479108,2830.765428,6802.006436,5800.157901
30.85534817,7.440002272,380.4799619,2830.771781,6802.792762,5800.805456
30.85879262,7.440002272,380.4808156,2830.778132,6803.579089,5801.453013
30.86223707,7.440002272,380.4816691,2830.784482,6804.365418,5802.100569
30.86568151,7.440002272,380.4825224,2830.790831,6805.151749,5802.748124
30.86912596,7.440002272,380.4833756,2830.797178,6805.938081,5803.39568
30.8725704,7.440002272,380.4842286,2830.803525,6806.724416,5804.043235
30.87601485,7.440002271,380.4850814,2830.80987,6807.510752,5804.690792
30.87945929,7.440002271,380.4859341,2830.816214,6808.29709,5805.338347
30.88290374,7.440002271,380.4867866,2830.822556,6809.083429,5805.985903
30.88634818,7.440002271,380.4876389,2830.828898,6809.86977,5806.633458
30.88979263,7.440002271,380.4884911,2830.835238,6810.656114,5807.281014
30.89323708,7.440002271,380.4893431,2830.841577,6811.442458,5807.928571
30.89668152,7.440002271,380.4901949,2830.847914,6812.228805,5808.576126
30.90012597,7.440002271,380.4910466,2830.854251,6813.015154,5809.223682
30.90357041,7.440002271,380.4918981,2830.860586,6813.801504,5809.871237
30.90701486,7.440002271,380.4927495,2830.86692,6814.587856,5810.518794
30.9104593,7.440002271,380.4936006,2830.873253,6815.374209,5811.166348
30.91390375,7.440002271,380.4944516,2830.879584,6816.160565,5811.813905
30.91734819,7.44000227,380.4953025,2830.885914,6816.946922,5812.46146
30.92079264,7.44000227,380.4961532,2830.892243,6817.733281,5813.109016
30.92423708,7.44000227,380.4970037,2830.898571,6818.519642,5813.756571
30.92768153,7.44000227,380.497854,2830.904898,6819.306004,5814.404128
30.93112598,7.44000227,380.4987042,2830.911223,6820.092368,5815.051684
30.93457042,7.44000227,380.4995542,2830.917547,6820.878734,5815.699239
30.93801487,7.44000227,380.5004041,2830.92387,6821.665102,5816.346796
30.94145931,7.44000227,380.5012538,2830.930192,6822.451472,5816.99435
30.94490376,7.44000227,380.5021033,2830.936512,6823.237843,5817.641907
30.9483482,7.44000227,380.5029527,2830.942832,6824.024216,5818.289462
30.95179265,7.44000227,380.5038019,2830.949149,6824.810591,5818.937018
30.95523709,7.44000227,380.5046509,2830.955466,6825.596967,5819.584573
30.95868154,7.440002269,380.5054998,2830.961782,6826.383345,5820.23213
30.96212599,7.440002269,380.5063485,2830.968096,6827.169725,5820.879686
30.96557043,7.440002269,380.507197,2830.974409,6827.956107,5821.527241
30.96901488,7.440002269,380.5080454,2830.980721,6828.742491,5822.174797
30.97245932,7.440002269,380.5088936,2830.987032,6829.528876,5822.822352
30.97590377,7.440002269,380.5097416,2830.993341,6830.315263,5823.469909
30.97934821,7.440002269,380.5105895,2830.999649,6831.101652,5824.117463
30.98279266,7.440002269,380.5114372,2831.005956,6831.888042,5824.76502
30.9862371,7.440002269,380.5122848,2831.012262,6832.674435,5825.412575
30.98968155,7.440002269,380.5131321,2831.018566,6833.460829,5826.060131
30.99312599,7.440002269,380.5139794,2831.02487,6834.247224,5826.707686
30.99657044,7.440002269,380.5148264,2831.031172,6835.033622,5827.355243
31.00001489,7.440002268,380.5156733,2831.037473,6835.820021,5828.002799
31.00345933,7.440002268,380.51652,2831.043772,6836.606422,5828.650354
31.00690378,7.440002268,380.5173666,2831.050071,6837.392825,5829.297911
31.01034822,7.440002268,380.518213,2831.056368,6838.17923,5829.945465
31.01379267,7.440002268,380.5190592,2831.062664,6838.965636,5830.593022
31.01723711,7.440002268,380.5199053,2831.068958,6839.752044,5831.240577
31.02068156,7.440002268,380.5207512,2831.075252,6840.538454,5831.888133
31.024126,7.440002268,380.5215969,2831.081544,6841.324865,5832.535688
31.02757045,7.440002268,380.5224425,2831.087835,6842.111279,5833.183245
31.03101489,7.440002268,380.5232879,2831.094125,6842.897694,5833.830799
31.03445934,7.440002268,380.5241332,2831.100414,6843.68411,5834.478356
31.03790379,7.440002268,380.5249783,2831.106701,6844.470529,5835.125913
31.04134823,7.440002267,380.5258232,2831.112987,6845.256949,5835.773467
31.04479268,7.440002267,380.526668,2831.119272,6846.043371,5836.421024
31.04823712,7.440002267,380.5275126,2831.125556,6846.829795,5837.068579
31.05168157,7.440002267,380.528357,2831.131839,6847.616221,5837.716135
31.05512601,7.440002267,380.5292013,2831.13812,6848.402648,5838.36369
31.05857046,7.440002267,380.5300454,2831.1444,6849.189077,5839.011246
31.0620149,7.440002267,380.5308893,2831.150679,6849.975508,5839.658801
31.06545935,7.440002267,380.5317331,2831.156957,6850.76194,5840.306358
31.0689038,7.440002267,380.5325767,2831.163233,6851.548374,5840.953914
31.07234824,7.440002267,380.5334201,2831.169508,6852.33481,5841.601469
31.07579269,7.440002267,380.5342634,2831.175782,6853.121248,5842.249026
31.07923713,7.440002266,380.5351066,2831.182055,6853.907687,5842.89658
31.08268158,7.440002266,380.5359495,2831.188327,6854.694129,5843.544137
31.08612602,7.440002266,380.5367923,2831.194597,6855.480572,5844.191692
31.08957047,7.440002266,380.537635,2831.200867,6856.267016,5844.839248
31.09301491,7.440002266,380.5384774,2831.207134,6857.053463,5845.486803
31.09645936,7.440002266,380.5393197,2831.213401,6857.839911,5846.13436
31.0999038,7.440002266,380.5401619,2831.219667,6858.626361,5846.781914
31.10334825,7.440002266,380.5410039,2831.225931,6859.412812,5847.429471
31.1067927,7.440002266,380.5418457,2831.232194,6860.199266,5848.077028
31.11023714,7.440002266,380.5426874,2831.238456,6860.985721,5848.724582
31.11368159,7.440002266,380.5435289,2831.244717,6861.772178,5849.372139
31.11712603,7.440002266,380.5443702,2831.250976,6862.558636,5850.019694
31.12057048,7.440002265,380.5452114,2831.257235,6863.345097,5850.66725
31.12401492,7.440002265,380.5460524,2831.263492,6864.131559,5851.314805
31.12745937,7.440002265,380.5468932,2831.269748,6864.918023,5851.962362
31.13090381,7.440002265,380.5477339,2831.276002,6865.704488,5852.609916
31.13434826,7.440002265,380.5485744,2831.282256,6866.490956,5853.257473
31.13779271,7.440002265,380.5494148,2831.288508,6867.277425,5853.905029
31.14123715,7.440002265,380.550255,2831.294759,6868.063895,5854.552584
31.1446816,7.440002265,380.551095,2831.301009,6868.850368,5855.200141
31.14812604,7.440002265,380.5519349,2831.307258,6869.636842,5855.847696
31.15157049,7.440002265,380.5527746,2831.313505,6870.423318,5856.495252
31.15501493,7.440002265,380.5536142,2831.319751,6871.209796,5857.142807
31.15845938,7.440002265,380.5544536,2831.325996,6871.996275,5857.790363
31.16190382,7.440002264,380.5552928,2831.33224,6872.782756,5858.437918
31.16534827,7.440002264,380.5561318,2831.338483,6873.569239,5859.085475
31.16879271,7.440002264,380.5569707,2831.344724,6874.355724,5859.733029
31.17223716,7.440002264,380.5578095,2831.350964,6875.14221,5860.380586
31.17568161,7.440002264,380.5586481,2831.357203,6875.928698,5861.028143
31.17912605,7.440002264,380.5594865,2831.363441,6876.715188,5861.675697
31.1825705,7.440002264,380.5603247,2831.369678,6877.50168,5862.323254
31.18601494,7.440002264,380.5611628,2831.375913,6878.288173,5862.970809
31.18945939,7.440002264,380.5620008,2831.382147,6879.074668,5863.618365
31.19290383,7.440002264,380.5628385,2831.38838,6879.861165,5864.26592
31.19634828,7.440002264,380.5636761,2831.394612,6880.647663,5864.913477
31.19979272,7.440002264,380.5645136,2831.400843,6881.434164,5865.561031
31.20323717,7.440002263,380.5653509,2831.407072,6882.220666,5866.208588
31.20668162,7.440002263,380.566188,2831.4133,6883.007169,5866.856145
31.21012606,7.440002263,380.567025,2831.419527,6883.793675,5867.503699
31.21357051,7.440002263,380.5678618,2831.425753,6884.580182,5868.151256
31.21701495,7.440002263,380.5686984,2831.431977,6885.366691,5868.798811
31.2204594,7.440002263,380.5695349,2831.438201,6886.153201,5869.446367
31.22390384,7.440002263,380.5703712,2831.444423,6886.939714,5870.093922
31.22734829,7.440002263,380.5712074,2831.450644,6887.726228,5870.741479
31.23079273,7.440002263,380.5720434,2831.456864,6888.512744,5871.389033
31.23423718,7.440002263,380.5728792,2831.463082,6889.299261,5872.03659
31.23768162,7.440002263,380.5737149,2831.4693,6890.08578,5872.684145
31.24112607,7.440002263,380.5745504,2831.475516,6890.872301,5873.331701
31.24457052,7.440002262,380.5753857,2831.481731,6891.658824,5873.979258
31.24801496,7.440002262,380.5762209,2831.487945,6892.445349,5874.626812
31.25145941,7.440002262,380.577056,2831.494157,6893.231875,5875.274369
31.25490385,7.440002262,380.5778908,2831.500369,6894.018403,5875.921924
31.2583483,7.440002262,380.5787256,2831.506579,6894.804932,5876.56948
31.26179274,7.440002262,380.5795601,2831.512788,6895.591463,5877.217035
31.26523719,7.440002262,380.5803945,2831.518996,6896.377997,5877.864592
31.26868163,7.440002262,380.5812287,2831.525203,6897.164531,5878.512146
31.27212608,7.440002262,380.5820628,2831.531408,6897.951068,5879.159703
31.27557052,7.440002262,380.5828967,2831.537612,6898.737606,5879.807258
31.27901497,7.440002262,380.5837305,2831.543815,6899.524146,5880.454814
31.28245942,7.440002262,380.584564,2831.550017,6900.310688,5881.102371
31.28590386,7.440002261,380.5853975,2831.556218,6901.097231,5881.749926
31.28934831,7.440002261,380.5862307,2831.562417,6901.883776,5882.397482
31.29279275,7.440002261,380.5870639,2831.568616,6902.670323,5883.045037
31.2962372,7.440002261,380.5878968,2831.574813,6903.456872,5883.692594
31.29968164,7.440002261,380.5887296,2831.581009,6904.243422,5884.340148
31.30312609,7.440002261,380.5895622,2831.587203,6905.029974,5884.987705
31.30657053,7.440002261,380.5903947,2831.593397,6905.816528,5885.63526
31.31001498,7.440002261,380.591227,2831.599589,6906.603083,5886.282816
31.31345943,7.440002261,380.5920591,2831.60578,6907.38964,5886.930373
31.31690387,7.440002261,380.5928911,2831.61197,6908.176199,5887.577928
31.32034832,7.440002261,380.593723,2831.618159,6908.96276,5888.225484
31.32379276,7.440002261,380.5945546,2831.624347,6909.749322,5888.873039
31.32723721,7.44000226,380.5953861,2831.630533,6910.535886,5889.520595
31.33068165,7.44000226,380.5962175,2831.636718,6911.322452,5890.16815
31.3341261,7.44000226,380.5970487,2831.642902,6912.109019,5890.815707
31.33757054,7.44000226,380.5978797,2831.649085,6912.895588,5891.463262
31.34101499,7.44000226,380.5987106,2831.655267,6913.682159,5892.110818
31.34445943,7.44000226,380.5995413,2831.661447,6914.468732,5892.758373
31.34790388,7.44000226,380.6003719,2831.667627,6915.255306,5893.405929
31.35134833,7.44000226,380.6012023,2831.673805,6916.041882,5894.053486
31.35479277,7.44000226,380.6020325,2831.679982,6916.82846,5894.701041
31.35823722,7.44000226,380.6028626,2831.686158,6917.61504,5895.348597
31.36168166,7.44000226,380.6036925,2831.692332,6918.401621,5895.996152
31.36512611,7.44000226,380.6045222,2831.698505,6919.188204,5896.643709
31.36857055,7.440002259,380.6053518,2831.704678,6919.974788,5897.291263
31.372015,7.440002259,380.6061813,2831.710849,6920.761375,5897.93882
31.37545944,7.440002259,380.6070106,2831.717018,6921.547963,5898.586375
31.37890389,7.440002259,380.6078397,2831.723187,6922.334553,5899.233931
31.38234834,7.440002259,380.6086686,2831.729355,6923.121144,5899.881488
31.38579278,7.440002259,380.6094974,2831.735521,6923.907737,5900.529043
31.38923723,7.440002259,380.6103261,2831.741686,6924.694332,5901.176599
31.39268167,7.440002259,380.6111546,2831.74785,6925.480929,5901.824154
31.39612612,7.440002259,380.6119829,2831.754013,6926.267527,5902.471711
31.39957056,7.440002259,380.6128111,2831.760174,6927.054127,5903.119265
31.40301501,7.440002259,380.6136391,2831.766334,6927.840729,5903.766822
31.40645945,7.440002259,380.6144669,2831.772494,6928.627332,5904.414377
31.4099039,7.440002258,380.6152946,2831.778652,6929.413938,5905.061933
31.41334834,7.440002258,380.6161222,2831.784809,6930.200544,5905.709488
31.41679279,7.440002258,380.6169495,2831.790964,6930.987153,5906.357045
31.42023724,7.440002258,380.6177768,2831.797119,6931.773763,5907.004601
31.42368168,7.440002258,380.6186038,2831.803272,6932.560375,5907.652156
31.42712613,7.440002258,380.6194307,2831.809424,6933.346989,5908.299712
31.43057057,7.440002258,380.6202575,2831.815575,6934.133605,5908.947267
31.43401502,7.440002258,380.6210841,2831.821725,6934.920222,5909.594824
31.43745946,7.440002258,380.6219105,2831.827873,6935.706841,5910.242378
31.44090391,7.440002258,380.6227368,2831.834021,6936.493461,5910.889935
31.44434835,7.440002258,380.6235629,2831.840167,6937.280083,5911.53749
31.4477928,7.440002258,380.6243888,2831.846312,6938.066707,5912.185046
31.45123724,7.440002257,380.6252146,2831.852456,6938.853333,5912.832601
