SOC,Current,Voltage,Power,Energy_Wh,Charge_level_based_on_SOC,Charge_level
61.4002238,8.530001837,384.8295683,3282.596925,13825.28895,11543.24207,13825.28895
61.40417288,8.530001837,384.8299004,3282.599757,13826.20079,11543.9845,13826.20079
61.40812195,8.530001837,384.8302324,3282.60259,13827.11262,11544.72693,13827.11262
61.41207103,8.530001837,384.8305645,3282.605422,13828.02445,11545.46935,13828.02445
61.4160201,8.530001837,384.8308965,3282.608254,13828.93629,11546.21178,13828.93629
61.41996918,8.530001837,384.8312284,3282.611085,13829.84812,11546.95421,13829.84812
61.42391825,8.530001837,384.8315604,3282.613917,13830.75996,11547.69663,13830.75996
61.42786733,8.530001837,384.8318923,3282.616748,13831.6718,11548.43906,13831.6718
61.4318164,8.530001837,384.8322242,3282.619579,13832.58364,11549.18148,13832.58364
61.43576548,8.530001837,384.8325561,3282.62241,13833.49548,11549.92391,13833.49548
61.43971455,8.530001837,384.832888,3282.625241,13834.40731,11550.66634,13834.40731
61.44366363,8.530001837,384.8332198,3282.628072,13835.31916,11551.40876,13835.31916
61.4476127,8.530001837,384.8335516,3282.630902,13836.231,11552.15119,13836.231
61.45156178,8.530001837,384.8338834,3282.633732,13837.14284,11552.89361,13837.14284
61.45551085,8.530001837,384.8342152,3282.636562,13838.05468,11553.63604,13838.05468
61.45945993,8.530001837,384.8345469,3282.639392,13838.96652,11554.37847,13838.96652
61.463409,8.530001837,384.8348787,3282.642222,13839.87837,11555.12089,13839.87837
61.46735808,8.530001836,384.8352104,3282.645051,13840.79021,11555.86332,13840.79021
61.47130715,8.530001836,384.8355421,3282.64788,13841.70206,11556.60574,13841.70206
61.47525623,8.530001836,384.8358737,3282.650709,13842.61391,11557.34817,13842.61391
61.4792053,8.530001836,384.8362054,3282.653538,13843.52575,11558.0906,13843.52575
61.48315438,8.530001836,384.836537,3282.656367,13844.4376,11558.83302,13844.4376
61.48710345,8.530001836,384.8368686,3282.659196,13845.34945,11559.57545,13845.34945
61.49105253,8.530001836,384.8372001,3282.662024,13846.2613,11560.31787,13846.2613
61.4950016,8.530001836,384.8375317,3282.664852,13847.17315,11561.0603,13847.17315
61.49895068,8.530001836,384.8378632,3282.66768,13848.085,11561.80273,13848.085
61.50289975,8.530001836,384.8381947,3282.670508,13848.99685,11562.54515,13848.99685
61.50684883,8.530001836,384.8385262,3282.673335,13849.90871,11563.28758,13849.90871
61.5107979,8.530001836,384.8388577,3282.676163,13850.82056,11564.03001,13850.82056
61.51474698,8.530001836,384.8391891,3282.67899,13851.73242,11564.77243,13851.73242
61.51869605,8.530001836,384.8395206,3282.681817,13852.64427,11565.51486,13852.64427
