,index,Power,time_stamp
190,12545,3519.223291397849,2019-10-01 10:30:00
191,12546,3519.2273505376343,2019-10-01 10:30:00
192,12547,3519.231410752688,2019-10-01 10:30:00
193,12548,3519.235468817204,2019-10-01 10:30:00
194,12549,3519.239527956989,2019-10-01 10:30:00
195,12550,3519.2435860215055,2019-10-01 10:30:00
196,12551,3519.247643010752,2019-10-01 10:30:00
197,12552,3519.2516999999993,2019-10-01 10:30:00
198,12553,3519.2557559139786,2019-10-01 10:30:00
199,12554,3519.259811827957,2019-10-01 10:30:00
200,12555,3519.263867741935,2019-10-01 10:30:00
201,12556,3519.267922580645,2019-10-01 10:30:00
202,12557,3519.2719774193547,2019-10-01 10:30:00
203,12558,3519.276031182795,2019-10-01 10:30:00
204,12559,3519.2800838709677,2019-10-01 10:30:00
205,12560,3519.2841376344086,2019-10-01 10:30:00
206,12561,3519.2881892473115,2019-10-01 10:30:00
207,12562,3519.2922419354836,2019-10-01 10:30:00
208,12563,3519.2962924731182,2019-10-01 10:30:00
209,12564,3519.300344086021,2019-10-01 10:30:00
210,12565,3519.304394623656,2019-10-01 10:30:00
211,12566,3519.3084440860216,2019-10-01 10:30:00
212,12567,3519.312493548387,2019-10-01 10:30:00
213,12568,3519.316543010753,2019-10-01 10:30:00
214,12569,3519.3205913978495,2019-10-01 10:30:00
215,12570,3519.3246387096774,2019-10-01 10:30:00
216,12571,3519.328687096774,2019-10-01 10:30:00
217,12572,3519.3327333333336,2019-10-01 10:30:00
218,12573,3519.3367795698923,2019-10-01 10:30:00
219,12574,3519.3408258064514,2019-10-01 10:30:00
220,12575,3519.344870967742,2019-10-01 10:30:00
221,12576,3519.348916129032,2019-10-01 10:30:00
222,12577,3519.3529612903226,2019-10-01 10:30:00
223,12578,3519.3570053763437,2019-10-01 10:30:00
224,12579,3519.3610483870966,2019-10-01 10:30:00
225,12580,3519.3650913978495,2019-10-01 10:30:00
226,12581,3519.369134408602,2019-10-01 10:30:00
227,12582,3519.3731763440856,2019-10-01 10:30:00
228,12583,3519.377217204301,2019-10-01 10:30:00
229,12584,3519.3812591397846,2019-10-01 10:30:00
230,12585,3519.385298924731,2019-10-01 10:30:00
231,12586,3519.3893387096778,2019-10-01 10:30:00
232,12587,3519.393378494624,2019-10-01 10:30:00
233,12588,3519.3974182795696,2019-10-01 10:30:00
234,12589,3519.401455913978,2019-10-01 10:30:00
235,12590,3519.4054946236556,2019-10-01 10:30:00
236,12591,3519.409532258064,2019-10-01 10:30:00
237,12592,3519.413568817204,2019-10-01 10:30:00
238,12593,3519.4176053763435,2019-10-01 10:30:00
239,12594,3519.421641935484,2019-10-01 10:30:00
240,12595,3519.4256774193545,2019-10-01 10:30:00
241,12596,3519.429712903225,2019-10-01 10:30:00
242,12597,3519.433747311828,2019-10-01 10:30:00
243,12598,3519.43778172043,2019-10-01 10:30:00
244,12599,3519.441815053763,2019-10-01 10:30:00
245,12600,3519.4458483870967,2019-10-01 10:30:00
246,12601,3519.449880645161,2019-10-01 10:30:00
247,12602,3519.4539129032255,2019-10-01 10:30:00
248,12603,3519.4579451612904,2019-10-01 10:30:00
249,12604,3519.4619763440855,2019-10-01 10:30:00
250,12605,3519.4660064516124,2019-10-01 10:30:00
251,12606,3519.4700365591393,2019-10-01 10:30:00
252,12607,3519.474066666666,2019-10-01 10:30:00
253,12608,3519.4780956989243,2019-10-01 10:30:00
254,12609,3519.482124731183,2019-10-01 10:30:00
255,12610,3519.4861526881714,2019-10-01 10:30:00
256,12611,3519.490180645161,2019-10-01 10:30:00
257,12612,3519.4942075268814,2019-10-01 10:30:00
258,12613,3519.498234408602,2019-10-01 10:30:00
259,12614,3519.5022612903226,2019-10-01 10:30:00
260,12615,3519.5062870967736,2019-10-01 10:30:00
261,12616,3519.5103118279567,2019-10-01 10:30:00
262,12617,3519.5143365591393,2019-10-01 10:30:00
263,12618,3519.518361290323,2019-10-01 10:30:00
264,12619,3519.5223849462363,2019-10-01 10:30:00
265,12620,3519.5264086021502,2019-10-01 10:30:00
266,12621,3519.5304311827954,2019-10-01 10:30:00
267,12622,3519.5344537634405,2019-10-01 10:30:00
268,12623,3519.5384752688174,2019-10-01 10:30:00
269,12624,3519.5424967741933,2019-10-01 10:30:00
270,12625,3519.546517204301,2019-10-01 10:30:00
271,12626,3519.5505376344086,2019-10-01 10:30:00
272,12627,3519.5545580645157,2019-10-01 10:30:00
273,12628,3519.5585774193546,2019-10-01 10:30:00
274,12629,3519.562596774193,2019-10-01 10:30:00
275,12630,3519.566615053763,2019-10-01 10:30:00
