,index,Power,time_stamp
153,19349,3540.491576344086,2019-10-04 02:30:00
154,19350,3540.494424731183,2019-10-04 02:30:00
155,19351,3540.497274193548,2019-10-04 02:30:00
156,19352,3540.5001236559137,2019-10-04 02:30:00
157,19353,3540.502973118279,2019-10-04 02:30:00
158,19354,3540.505822580645,2019-10-04 02:30:00
159,19355,3540.5086720430104,2019-10-04 02:30:00
160,19356,3540.5115225806453,2019-10-04 02:30:00
161,19357,3540.5143720430106,2019-10-04 02:30:00
162,19358,3540.5172225806455,2019-10-04 02:30:00
163,19359,3540.5200731182795,2019-10-04 02:30:00
164,19360,3540.522922580645,2019-10-04 02:30:00
165,19361,3540.5257731182796,2019-10-04 02:30:00
166,19362,3540.5286236559136,2019-10-04 02:30:00
167,19363,3540.531475268817,2019-10-04 02:30:00
168,19364,3540.5343258064513,2019-10-04 02:30:00
169,19365,3540.5371763440858,2019-10-04 02:30:00
170,19366,3540.5400279569894,2019-10-04 02:30:00
171,19367,3540.542879569892,2019-10-04 02:30:00
172,19368,3540.5457301075267,2019-10-04 02:30:00
173,19369,3540.54858172043,2019-10-04 02:30:00
174,19370,3540.551433333333,2019-10-04 02:30:00
175,19371,3540.5542849462367,2019-10-04 02:30:00
176,19372,3540.5571376344083,2019-10-04 02:30:00
177,19373,3540.5599892473115,2019-10-04 02:30:00
178,19374,3540.5628419354834,2019-10-04 02:30:00
179,19375,3540.565693548387,2019-10-04 02:30:00
180,19376,3540.568546236559,2019-10-04 02:30:00
181,19377,3540.571398924731,2019-10-04 02:30:00
182,19378,3540.574251612903,2019-10-04 02:30:00
183,19379,3540.577104301075,2019-10-04 02:30:00
184,19380,3540.579956989247,2019-10-04 02:30:00
185,19381,3540.5828107526877,2019-10-04 02:30:00
186,19382,3540.5856634408606,2019-10-04 02:30:00
187,19383,3540.5885172043013,2019-10-04 02:30:00
188,19384,3540.591370967742,2019-10-04 02:30:00
189,19385,3540.594223655914,2019-10-04 02:30:00
190,19386,3540.5970774193547,2019-10-04 02:30:00
191,19387,3540.5999322580647,2019-10-04 02:30:00
192,19388,3540.6027860215054,2019-10-04 02:30:00
193,19389,3540.605639784946,2019-10-04 02:30:00
194,19390,3540.6084946236556,2019-10-04 02:30:00
195,19391,3540.6113483870963,2019-10-04 02:30:00
196,19392,3540.6142032258062,2019-10-04 02:30:00
197,19393,3540.617058064516,2019-10-04 02:30:00
198,19394,3540.6199129032257,2019-10-04 02:30:00
199,19395,3540.622767741935,2019-10-04 02:30:00
200,19396,3540.625622580645,2019-10-04 02:30:00
201,19397,3540.6284774193546,2019-10-04 02:30:00
202,19398,3540.6313333333333,2019-10-04 02:30:00
203,19399,3540.634188172043,2019-10-04 02:30:00
204,19400,3540.6370440860214,2019-10-04 02:30:00
205,19401,3540.6398999999997,2019-10-04 02:30:00
206,19402,3540.6427559139784,2019-10-04 02:30:00
207,19403,3540.645611827957,2019-10-04 02:30:00
208,19404,3540.6484677419353,2019-10-04 02:30:00
209,19405,3540.6513247311823,2019-10-04 02:30:00
210,19406,3540.654180645161,2019-10-04 02:30:00
211,19407,3540.6570376344084,2019-10-04 02:30:00
212,19408,3540.659893548387,2019-10-04 02:30:00
213,19409,3540.662750537634,2019-10-04 02:30:00
214,19410,3540.6656075268816,2019-10-04 02:30:00
215,19411,3540.668464516129,2019-10-04 02:30:00
216,19412,3540.671321505376,2019-10-04 02:30:00
217,19413,3540.674179569892,2019-10-04 02:30:00
218,19414,3540.6770365591397,2019-10-04 02:30:00
219,19415,3540.6798946236554,2019-10-04 02:30:00
220,19416,3540.682752688172,2019-10-04 02:30:00
221,19417,3540.6856096774195,2019-10-04 02:30:00
222,19418,3540.6884677419353,2019-10-04 02:30:00
223,19419,3540.69132688172,2019-10-04 02:30:00
224,19420,3540.6941849462364,2019-10-04 02:30:00
225,19421,3540.6970430107526,2019-10-04 02:30:00
226,19422,3540.699902150537,2019-10-04 02:30:00
227,19423,3540.702760215054,2019-10-04 02:30:00
228,19424,3540.7056193548387,2019-10-04 02:30:00
229,19425,3540.7084784946237,2019-10-04 02:30:00
230,19426,3540.7113376344087,2019-10-04 02:30:00
231,19427,3540.7141967741936,2019-10-04 02:30:00
232,19428,3540.7170559139786,2019-10-04 02:30:00
233,19429,3540.7199150537635,2019-10-04 02:30:00
234,19430,3540.722775268817,2019-10-04 02:30:00
235,19431,3540.7256354838705,2019-10-04 02:30:00
236,19432,3540.728494623656,2019-10-04 02:30:00
237,19433,3540.7313548387096,2019-10-04 02:30:00
238,19434,3540.734215053763,2019-10-04 02:30:00
239,19435,3540.737075268817,2019-10-04 02:30:00
240,19436,3540.7399365591396,2019-10-04 02:30:00
241,19437,3540.7427967741933,2019-10-04 02:30:00
242,19438,3540.7456580645157,2019-10-04 02:30:00
243,19439,3540.74851827957,2019-10-04 02:30:00
244,19440,3540.751379569892,2019-10-04 02:30:00
245,19441,3540.754240860215,2019-10-04 02:30:00
246,19442,3540.7571021505373,2019-10-04 02:30:00
247,19443,3540.7599634408602,2019-10-04 02:30:00
248,19444,3540.7628247311827,2019-10-04 02:30:00
249,19445,3540.765687096774,2019-10-04 02:30:00
250,19446,3540.7685483870964,2019-10-04 02:30:00
251,19447,3540.771410752688,2019-10-04 02:30:00
252,19448,3540.774273118279,2019-10-04 02:30:00
253,19449,3540.7771354838706,2019-10-04 02:30:00
254,19450,3540.7799978494622,2019-10-04 02:30:00
255,19451,3540.782860215054,2019-10-04 02:30:00
256,19452,3540.785723655914,2019-10-04 02:30:00
257,19453,3540.7885860215056,2019-10-04 02:30:00
258,19454,3540.7914494623656,2019-10-04 02:30:00
259,19455,3540.7943118279572,2019-10-04 02:30:00
260,19456,3540.797175268817,2019-10-04 02:30:00
261,19457,3540.800038709677,2019-10-04 02:30:00
262,19458,3540.802902150537,2019-10-04 02:30:00
263,19459,3540.8057666666664,2019-10-04 02:30:00
264,19460,3540.8086301075273,2019-10-04 02:30:00
265,19461,3540.8114946236556,2019-10-04 02:30:00
266,19462,3540.814358064516,2019-10-04 02:30:00
267,19463,3540.817222580645,2019-10-04 02:30:00
268,19464,3540.820087096774,2019-10-04 02:30:00
269,19465,3540.822951612903,2019-10-04 02:30:00
270,19466,3540.8258161290323,2019-10-04 02:30:00
271,19467,3540.8286806451615,2019-10-04 02:30:00
272,19468,3540.8315462365586,2019-10-04 02:30:00
273,19469,3540.8344107526877,2019-10-04 02:30:00
274,19470,3540.837276344086,2019-10-04 02:30:00
275,19471,3540.8401419354836,2019-10-04 02:30:00
276,19472,3540.843007526881,2019-10-04 02:30:00
277,19473,3540.8458731182795,2019-10-04 02:30:00
278,19474,3540.848738709677,2019-10-04 02:30:00
279,19475,3540.851605376344,2019-10-04 02:30:00
280,19476,3540.8544709677412,2019-10-04 02:30:00
281,19477,3540.8573376344084,2019-10-04 02:30:00
282,19478,3540.8602043010746,2019-10-04 02:30:00
