,start,end,energy(J)
104,2017-10-24 17:41:07,2017-10-24 17:50:11,927390.9246913628
105,2017-10-24 18:36:04,2017-10-24 18:51:20,1323107.0266769067
106,2017-10-24 20:43:22,2017-10-24 20:54:21,937316.2070669304
107,2017-10-25 08:06:33,2017-10-25 08:14:27,589906.1272082311
108,2017-10-25 13:00:24,2017-10-25 13:30:04,1324374.4061092047
109,2017-10-25 15:29:26,2017-10-25 15:35:21,402577.76419523516
110,2017-10-25 16:24:40,2017-10-25 16:31:39,509850.85768214904
111,2017-10-25 18:09:58,2017-10-25 18:19:04,876232.796686103
112,2017-10-25 19:48:34,2017-10-25 20:44:51,4293567.906082306
113,2017-10-26 09:37:28,2017-10-26 09:49:25,1005985.8429727802
114,2017-10-26 11:36:29,2017-10-26 11:42:22,387343.0208163299
115,2017-10-26 13:22:02,2017-10-26 15:41:46,11106271.66247931
116,2017-10-26 17:59:07,2017-10-26 18:46:31,4665812.075402596
117,2017-10-26 19:48:56,2017-10-26 20:57:39,7394950.214266085
118,2017-10-27 08:08:51,2017-10-27 08:16:46,596990.4821950304
119,2017-10-27 09:07:08,2017-10-27 09:19:21,1156313.0217592614
120,2017-10-27 12:25:18,2017-10-27 13:04:19,914813.720373291
121,2017-10-27 17:46:50,2017-10-27 19:04:53,4677326.291578932
122,2017-10-27 19:55:40,2017-10-27 20:06:19,1182040.996780409
123,2017-10-28 05:40:45,2017-10-28 05:55:21,1757089.6950767783
124,2017-10-28 07:09:08,2017-10-28 07:24:20,1742136.6419656617
125,2017-10-28 08:42:14,2017-10-28 11:47:50,17888748.592280723
126,2017-10-28 12:23:09,2017-10-28 13:08:39,5646660.492301793
127,2017-10-28 14:54:33,2017-10-28 15:19:08,2983060.2366418727
128,2017-10-28 16:06:21,2017-10-28 17:23:39,10954076.352154283
129,2017-10-28 18:04:31,2017-10-28 20:03:53,11723050.608742738
130,2017-10-28 20:35:46,2017-10-28 20:46:20,1031339.4857046463
131,2017-10-29 09:17:54,2017-10-29 09:57:48,6183088.057337332
132,2017-10-29 12:33:07,2017-10-29 13:02:20,4809492.885868162
133,2017-10-29 14:06:00,2017-10-29 14:29:35,2736573.46431075
134,2017-10-29 17:31:29,2017-10-29 17:40:46,899042.254823279
135,2017-10-29 18:31:25,2017-10-29 18:41:50,586030.393123936
136,2017-10-29 20:34:07,2017-10-29 21:16:14,3832315.4773767255
137,2017-10-30 06:24:15,2017-10-30 06:38:02,1772676.8140857576
138,2017-10-30 07:37:49,2017-10-30 08:11:41,2350121.6006621122
139,2017-10-30 09:06:33,2017-10-30 09:15:06,838356.6986677963
140,2017-10-30 15:08:15,2017-10-30 15:17:20,904082.0783602949
141,2017-10-30 16:34:00,2017-10-30 16:41:46,817435.1145197314
142,2017-10-30 20:33:44,2017-10-30 20:43:41,926105.9432389266
143,2017-10-31 05:53:04,2017-10-31 06:07:01,1761442.5611773152
144,2017-10-31 07:28:39,2017-10-31 08:16:21,2257099.735091519
145,2017-10-31 08:51:45,2017-10-31 09:16:01,1280692.3951630206
146,2017-10-31 13:31:39,2017-10-31 15:29:18,8811318.26904256
147,2017-10-31 16:02:27,2017-10-31 16:35:36,3644788.517104097
148,2017-10-31 18:15:08,2017-10-31 18:25:36,937194.7856956876
149,2017-10-31 19:53:36,2017-10-31 21:07:21,6248624.4414745
150,2017-11-01 06:17:15,2017-11-01 06:32:45,1780342.7843117514
151,2017-11-01 07:42:46,2017-11-01 08:20:21,2611103.922599885
152,2017-11-01 09:36:29,2017-11-01 09:55:31,1376751.4374887845
153,2017-11-01 13:20:01,2017-11-01 13:44:56,1418513.913901627
154,2017-11-01 18:08:58,2017-11-01 18:19:46,910147.278869316
155,2017-11-02 05:55:12,2017-11-02 06:09:47,1790516.8658968103
156,2017-11-02 07:20:20,2017-11-02 07:33:00,1636396.7251594092
157,2017-11-02 08:31:21,2017-11-02 09:38:27,9662231.514703743
158,2017-11-02 18:14:21,2017-11-02 19:55:05,10942299.996807406
159,2017-11-02 20:49:26,2017-11-02 21:21:00,1138719.3649544907
160,2017-11-03 08:07:34,2017-11-03 08:16:04,612579.6626918475
161,2017-11-03 08:52:03,2017-11-03 09:25:38,4528207.71527941
162,2017-11-03 12:01:14,2017-11-03 12:13:06,999326.6081442164
163,2017-11-03 13:16:08,2017-11-03 13:23:53,812713.0516777508
164,2017-11-03 18:24:53,2017-11-03 18:36:00,938396.4335086632
165,2017-11-03 20:26:28,2017-11-03 22:05:08,11656560.6908335
166,2017-11-04 05:46:45,2017-11-04 06:01:55,1798374.571235719
167,2017-11-04 07:21:10,2017-11-04 07:41:23,1850225.2133909932
168,2017-11-04 09:10:49,2017-11-04 09:21:09,938551.6155146075
