timestamps,S1_PID_0C_EngineRPM
2019-09-27 17:21:08.533799887+01:00,2435.0
2019-09-27 17:21:08.734450102+01:00,2478.0
2019-09-27 17:21:08.933700085+01:00,2510.0
2019-09-27 17:21:09.133949994+01:00,2470.0
2019-09-27 17:21:09.333849907+01:00,2295.0
2019-09-27 17:21:09.533849955+01:00,2063.0
2019-09-27 17:21:09.729350090+01:00,1803.0
2019-09-27 17:21:09.933850050+01:00,1550.0
2019-09-27 17:21:10.133899927+01:00,1296.0
2019-09-27 17:21:10.333899975+01:00,1180.0
2019-09-27 17:21:10.533900022+01:00,1079.0
2019-09-27 17:21:10.733850002+01:00,966.0
2019-09-27 17:21:10.933850050+01:00,887.0
2019-09-27 17:21:11.133949994+01:00,880.0
2019-09-27 17:21:11.333950043+01:00,1332.0
2019-09-27 17:21:11.533799887+01:00,1571.0
2019-09-27 17:21:11.734050035+01:00,1520.0
2019-09-27 17:21:11.933850050+01:00,1538.0
2019-09-27 17:21:12.134299994+01:00,1500.0
2019-09-27 17:21:12.334000111+01:00,1501.0
2019-09-27 17:21:12.533849955+01:00,1470.0
2019-09-27 17:21:12.734149933+01:00,1467.0
2019-09-27 17:21:12.933949947+01:00,1494.0
2019-09-27 17:21:13.134000063+01:00,1510.0
2019-09-27 17:21:13.334100008+01:00,1540.0
2019-09-27 17:21:13.534100056+01:00,1543.0
2019-09-27 17:21:13.734149933+01:00,1567.0
2019-09-27 17:21:13.934149981+01:00,1604.0
2019-09-27 17:21:14.134150028+01:00,1637.0
2019-09-27 17:21:14.334100008+01:00,1659.0
2019-09-27 17:21:14.533999919+01:00,1690.0
2019-09-27 17:21:14.734200001+01:00,1708.0
2019-09-27 17:21:14.934099913+01:00,1738.0
2019-09-27 17:21:15.134249926+01:00,1766.0
2019-09-27 17:21:15.334300041+01:00,1800.0
2019-09-27 17:21:15.535350083+01:00,1839.0
2019-09-27 17:21:15.734050035+01:00,1861.0
2019-09-27 17:21:15.934099913+01:00,1877.0
2019-09-27 17:21:16.134449959+01:00,1903.0
2019-09-27 17:21:16.334199905+01:00,1926.0
2019-09-27 17:21:16.534250020+01:00,1954.0
2019-09-27 17:21:16.734250069+01:00,1982.0
2019-09-27 17:21:16.934149981+01:00,2005.0
2019-09-27 17:21:17.134200095+01:00,2034.0
2019-09-27 17:21:17.334300041+01:00,2054.0
2019-09-27 17:21:17.534199953+01:00,2099.0
2019-09-27 17:21:17.734200001+01:00,2113.0
2019-09-27 17:21:17.934350014+01:00,2128.0
2019-09-27 17:21:18.134449959+01:00,2143.0
2019-09-27 17:21:18.334450006+01:00,2176.0
2019-09-27 17:21:18.534349918+01:00,2199.0
2019-09-27 17:21:18.734299898+01:00,2215.0
2019-09-27 17:21:18.934499979+01:00,2246.0
2019-09-27 17:21:19.134500027+01:00,2261.0
2019-09-27 17:21:19.334300041+01:00,2291.0
2019-09-27 17:21:19.534349918+01:00,2312.0
2019-09-27 17:21:19.734600067+01:00,2343.0
2019-09-27 17:21:19.934649944+01:00,2350.0
2019-09-27 17:21:20.134749889+01:00,2350.0
2019-09-27 17:21:20.334650040+01:00,2361.0
2019-09-27 17:21:20.534499884+01:00,2359.0
2019-09-27 17:21:20.734499931+01:00,2350.0
2019-09-27 17:21:20.935400009+01:00,2350.0
2019-09-27 17:21:21.134700060+01:00,2339.0
2019-09-27 17:21:21.334650040+01:00,2327.0
2019-09-27 17:21:21.534749985+01:00,2332.0
2019-09-27 17:21:21.734649897+01:00,2327.0
2019-09-27 17:21:21.934649944+01:00,2324.0
2019-09-27 17:21:22.135799885+01:00,2328.0
2019-09-27 17:21:22.334650040+01:00,2329.0
2019-09-27 17:21:22.530649900+01:00,2327.0
2019-09-27 17:21:22.734750032+01:00,2341.0
2019-09-27 17:21:22.934750080+01:00,2343.0
2019-09-27 17:21:23.134599924+01:00,2350.0
2019-09-27 17:21:23.334599972+01:00,2355.0
2019-09-27 17:21:23.535550117+01:00,2361.0
2019-09-27 17:21:23.734800100+01:00,2375.0
2019-09-27 17:21:23.934799910+01:00,2388.0
2019-09-27 17:21:24.134900093+01:00,2392.0
2019-09-27 17:21:24.334850073+01:00,2408.0
2019-09-27 17:21:24.534749985+01:00,2419.0
2019-09-27 17:21:24.734899998+01:00,2424.0
2019-09-27 17:21:24.934900045+01:00,2438.0
2019-09-27 17:21:25.130850077+01:00,2444.0
2019-09-27 17:21:25.334949970+01:00,2453.0
2019-09-27 17:21:25.535150051+01:00,2474.0
2019-09-27 17:21:25.731050014+01:00,2477.0
2019-09-27 17:21:25.934799910+01:00,2488.0
2019-09-27 17:21:26.134850025+01:00,2497.0
2019-09-27 17:21:26.335099936+01:00,2504.0
2019-09-27 17:21:26.534950018+01:00,2514.0
2019-09-27 17:21:26.734999895+01:00,2525.0
2019-09-27 17:21:26.934999943+01:00,2540.0
2019-09-27 17:21:27.135200024+01:00,2550.0
2019-09-27 17:21:27.335299969+01:00,2567.0
2019-09-27 17:21:27.535049915+01:00,2573.0
2019-09-27 17:21:27.735100031+01:00,2590.0
2019-09-27 17:21:27.935199976+01:00,2600.0
2019-09-27 17:21:28.135099888+01:00,2617.0
2019-09-27 17:21:28.334949970+01:00,2622.0
2019-09-27 17:21:28.535049915+01:00,2637.0
2019-09-27 17:21:28.735100031+01:00,2621.0
2019-09-27 17:21:28.935149908+01:00,2587.0
2019-09-27 17:21:29.135200024+01:00,2591.0
2019-09-27 17:21:29.335249901+01:00,2560.0
2019-09-27 17:21:29.535150051+01:00,2316.0
2019-09-27 17:21:29.735300064+01:00,2068.0
2019-09-27 17:21:29.935199976+01:00,1827.0
2019-09-27 17:21:30.135099888+01:00,1588.0
2019-09-27 17:21:30.335249901+01:00,1367.0
2019-09-27 17:21:30.535249949+01:00,1193.0
2019-09-27 17:21:30.735249996+01:00,1122.0
2019-09-27 17:21:30.935199976+01:00,1159.0
2019-09-27 17:21:31.135400057+01:00,1539.0
2019-09-27 17:21:31.336450100+01:00,1905.0
2019-09-27 17:21:31.536449909+01:00,1802.0
2019-09-27 17:21:31.735399961+01:00,1847.0
2019-09-27 17:21:31.935400009+01:00,1805.0
2019-09-27 17:21:32.135400057+01:00,1809.0
2019-09-27 17:21:32.335550070+01:00,1825.0
2019-09-27 17:21:32.535350083+01:00,1835.0
2019-09-27 17:21:32.736500025+01:00,1830.0
2019-09-27 17:21:32.935499907+01:00,1833.0
2019-09-27 17:21:33.135449886+01:00,1842.0
2019-09-27 17:21:33.335350037+01:00,1841.0
2019-09-27 17:21:33.535399914+01:00,1854.0
2019-09-27 17:21:33.736550093+01:00,1838.0
2019-09-27 17:21:33.935400009+01:00,1791.0
2019-09-27 17:21:34.135499954+01:00,1824.0
2019-09-27 17:21:34.335649967+01:00,1838.0
2019-09-27 17:21:34.535550117+01:00,1843.0
2019-09-27 17:21:34.735500097+01:00,1834.0
2019-09-27 17:21:34.935650110+01:00,1828.0
2019-09-27 17:21:35.135550022+01:00,1832.0
2019-09-27 17:21:35.335750103+01:00,1828.0
2019-09-27 17:21:35.535550117+01:00,1820.0
2019-09-27 17:21:35.735800028+01:00,1822.0
2019-09-27 17:21:35.935549974+01:00,1808.0
2019-09-27 17:21:36.135649920+01:00,1785.0
2019-09-27 17:21:36.335700035+01:00,1766.0
2019-09-27 17:21:36.535599947+01:00,1750.0
2019-09-27 17:21:36.735699892+01:00,1722.0
2019-09-27 17:21:36.935800076+01:00,1712.0
2019-09-27 17:21:37.135799885+01:00,1698.0
2019-09-27 17:21:37.335750103+01:00,1679.0
2019-09-27 17:21:37.536000013+01:00,1667.0
2019-09-27 17:21:37.735800028+01:00,1645.0
2019-09-27 17:21:37.935899973+01:00,1624.0
2019-09-27 17:21:38.135699987+01:00,1602.0
