timestamps,S1_PID_0D_VehicleSpeed
2019-09-27 17:23:21.762949944+01:00,58
2019-09-27 17:23:21.962850094+01:00,58
2019-09-27 17:23:22.162800074+01:00,59
2019-09-27 17:23:22.363199949+01:00,59
2019-09-27 17:23:22.562949896+01:00,59
2019-09-27 17:23:22.762850046+01:00,58
2019-09-27 17:23:22.962850094+01:00,58
2019-09-27 17:23:23.163100004+01:00,58
2019-09-27 17:23:23.362900019+01:00,58
2019-09-27 17:23:23.562900066+01:00,58
2019-09-27 17:23:23.763000011+01:00,58
2019-09-27 17:23:23.962899923+01:00,58
2019-09-27 17:23:24.163100004+01:00,57
2019-09-27 17:23:24.362950087+01:00,57
2019-09-27 17:23:24.563100100+01:00,57
2019-09-27 17:23:24.763099909+01:00,56
2019-09-27 17:23:24.963000059+01:00,56
2019-09-27 17:23:25.163249969+01:00,55
2019-09-27 17:23:25.363149881+01:00,55
2019-09-27 17:23:25.563050032+01:00,55
2019-09-27 17:23:25.763200045+01:00,55
2019-09-27 17:23:25.963049889+01:00,54
2019-09-27 17:23:26.163249969+01:00,54
2019-09-27 17:23:26.363100052+01:00,54
2019-09-27 17:23:26.563100100+01:00,54
2019-09-27 17:23:26.763200045+01:00,54
2019-09-27 17:23:26.963150024+01:00,54
2019-09-27 17:23:27.163249969+01:00,54
2019-09-27 17:23:27.363250017+01:00,55
2019-09-27 17:23:27.563400030+01:00,55
2019-09-27 17:23:27.763350010+01:00,55
2019-09-27 17:23:27.963299990+01:00,55
2019-09-27 17:23:28.163249969+01:00,56
2019-09-27 17:23:28.363199949+01:00,56
2019-09-27 17:23:28.563250065+01:00,56
2019-09-27 17:23:28.763250113+01:00,56
2019-09-27 17:23:28.963249922+01:00,57
2019-09-27 17:23:29.163300037+01:00,57
2019-09-27 17:23:29.363450050+01:00,57
2019-09-27 17:23:29.563299894+01:00,58
2019-09-27 17:23:29.763499975+01:00,58
2019-09-27 17:23:29.963399887+01:00,58
2019-09-27 17:23:30.163399935+01:00,58
2019-09-27 17:23:30.364500046+01:00,59
2019-09-27 17:23:30.563499928+01:00,59
2019-09-27 17:23:30.763499975+01:00,59
2019-09-27 17:23:30.963550091+01:00,59
2019-09-27 17:23:31.163549900+01:00,60
2019-09-27 17:23:31.363549948+01:00,60
2019-09-27 17:23:31.563400030+01:00,60
2019-09-27 17:23:31.763700008+01:00,61
2019-09-27 17:23:31.963449955+01:00,61
2019-09-27 17:23:32.163500071+01:00,61
2019-09-27 17:23:32.363549948+01:00,61
2019-09-27 17:23:32.563649893+01:00,62
2019-09-27 17:23:32.764199972+01:00,62
2019-09-27 17:23:32.963550091+01:00,62
2019-09-27 17:23:33.163700104+01:00,62
2019-09-27 17:23:33.363749981+01:00,63
2019-09-27 17:23:33.563600063+01:00,63
2019-09-27 17:23:33.763600111+01:00,63
2019-09-27 17:23:33.963599920+01:00,63
2019-09-27 17:23:34.163749933+01:00,64
2019-09-27 17:23:34.363850117+01:00,64
2019-09-27 17:23:34.563649893+01:00,64
2019-09-27 17:23:34.763649940+01:00,64
2019-09-27 17:23:34.963700056+01:00,64
2019-09-27 17:23:35.163749933+01:00,65
2019-09-27 17:23:35.363749981+01:00,65
2019-09-27 17:23:35.563849926+01:00,65
2019-09-27 17:23:35.763750076+01:00,65
2019-09-27 17:23:35.963749886+01:00,66
2019-09-27 17:23:36.163899899+01:00,66
2019-09-27 17:23:36.364449978+01:00,66
2019-09-27 17:23:36.563800097+01:00,66
2019-09-27 17:23:36.763799906+01:00,66
2019-09-27 17:23:36.963799953+01:00,65
2019-09-27 17:23:37.163899899+01:00,65
2019-09-27 17:23:37.364000082+01:00,65
2019-09-27 17:23:37.563849926+01:00,65
2019-09-27 17:23:37.763900042+01:00,64
2019-09-27 17:23:37.963949919+01:00,64
2019-09-27 17:23:38.163899899+01:00,64
2019-09-27 17:23:38.363899946+01:00,64
2019-09-27 17:23:38.563950062+01:00,64
2019-09-27 17:23:38.763950109+01:00,64
2019-09-27 17:23:38.964099884+01:00,64
2019-09-27 17:23:39.164099932+01:00,63
2019-09-27 17:23:39.364000082+01:00,63
2019-09-27 17:23:39.564049959+01:00,63
2019-09-27 17:23:39.764050007+01:00,63
2019-09-27 17:23:39.964200020+01:00,63
2019-09-27 17:23:40.164299965+01:00,62
2019-09-27 17:23:40.364399910+01:00,62
2019-09-27 17:23:40.564199924+01:00,62
2019-09-27 17:23:40.764199972+01:00,62
2019-09-27 17:23:40.964250088+01:00,62
2019-09-27 17:23:41.164249897+01:00,62
2019-09-27 17:23:41.364150047+01:00,62
2019-09-27 17:23:41.564150095+01:00,62
2019-09-27 17:23:41.764149904+01:00,61
2019-09-27 17:23:41.964149952+01:00,61
2019-09-27 17:23:42.164200068+01:00,61
2019-09-27 17:23:42.364200115+01:00,61
2019-09-27 17:23:42.564199924+01:00,61
2019-09-27 17:23:42.764199972+01:00,61
2019-09-27 17:23:42.964299917+01:00,61
2019-09-27 17:23:43.164499998+01:00,61
2019-09-27 17:23:43.364550114+01:00,60
2019-09-27 17:23:43.564500093+01:00,60
2019-09-27 17:23:43.764349937+01:00,60
2019-09-27 17:23:43.964299917+01:00,60
2019-09-27 17:23:44.164350033+01:00,60
2019-09-27 17:23:44.364449978+01:00,60
2019-09-27 17:23:44.564549923+01:00,60
2019-09-27 17:23:44.764349937+01:00,60
2019-09-27 17:23:44.964400053+01:00,60
