timestamps,S1_PID_05_EngineCoolantTemp
2019-09-27 17:23:20.082649946+01:00,74.0
2019-09-27 17:23:21.083450079+01:00,74.0
2019-09-27 17:23:22.083899975+01:00,75.0
2019-09-27 17:23:23.082999945+01:00,75.0
2019-09-27 17:23:24.082950115+01:00,76.0
2019-09-27 17:23:25.082999945+01:00,76.0
2019-09-27 17:23:26.083199978+01:00,76.0
2019-09-27 17:23:27.083250046+01:00,76.0
2019-09-27 17:23:28.083199978+01:00,77.0
2019-09-27 17:23:29.083400011+01:00,77.0
2019-09-27 17:23:30.083699942+01:00,77.0
2019-09-27 17:23:31.083549976+01:00,78.0
2019-09-27 17:23:32.083849907+01:00,78.0
2019-09-27 17:23:33.083549976+01:00,78.0
2019-09-27 17:23:34.083650112+01:00,78.0
2019-09-27 17:23:35.084100008+01:00,79.0
2019-09-27 17:23:36.084500074+01:00,79.0
2019-09-27 17:23:37.084150076+01:00,79.0
2019-09-27 17:23:38.083899975+01:00,79.0
2019-09-27 17:23:39.084000111+01:00,80.0
2019-09-27 17:23:40.085150003+01:00,80.0
2019-09-27 17:23:41.084249973+01:00,81.0
2019-09-27 17:23:42.084199905+01:00,81.0
2019-09-27 17:23:43.084249973+01:00,81.0
2019-09-27 17:23:44.084350109+01:00,81.0
2019-09-27 17:23:45.084399939+01:00,81.0
2019-09-27 17:23:46.084450006+01:00,81.0
2019-09-27 17:23:47.084549904+01:00,81.0
2019-09-27 17:23:48.084850073+01:00,81.0
2019-09-27 17:23:49.084949970+01:00,81.0
2019-09-27 17:23:50.085150003+01:00,82.0
2019-09-27 17:23:51.084949970+01:00,82.0
2019-09-27 17:23:52.085000038+01:00,82.0
2019-09-27 17:23:53.085050106+01:00,82.0
2019-09-27 17:23:54.085249901+01:00,82.0
2019-09-27 17:23:55.085099936+01:00,82.0
2019-09-27 17:23:56.085150003+01:00,82.0
2019-09-27 17:23:57.085599899+01:00,82.0
2019-09-27 17:23:58.085949898+01:00,82.0
2019-09-27 17:23:59.085550070+01:00,82.0
