timestamps,response,length,service
2019-09-27 17:20:07.709599972+01:00,4,3,1
2019-09-27 17:20:07.729449987+01:00,4,4,1
2019-09-27 17:20:07.749550104+01:00,4,3,1
2019-09-27 17:20:07.789449930+01:00,4,3,1
2019-09-27 17:20:07.829400063+01:00,4,4,1
2019-09-27 17:20:07.909450054+01:00,4,3,1
2019-09-27 17:20:07.930000067+01:00,4,4,1
2019-09-27 17:20:07.949500084+01:00,4,3,1
2019-09-27 17:20:07.989399910+01:00,4,3,1
2019-09-27 17:20:08.030750036+01:00,4,4,1
2019-09-27 17:20:08.069449902+01:00,4,3,1
2019-09-27 17:20:08.109450102+01:00,4,3,1
2019-09-27 17:20:08.129549980+01:00,4,4,1
2019-09-27 17:20:08.149600029+01:00,4,3,1
2019-09-27 17:20:08.189450026+01:00,4,3,1
2019-09-27 17:20:08.229599953+01:00,4,4,1
2019-09-27 17:20:08.309499979+01:00,4,3,1
2019-09-27 17:20:08.329600096+01:00,4,4,1
2019-09-27 17:20:08.349499941+01:00,4,3,1
2019-09-27 17:20:08.389450073+01:00,4,3,1
2019-09-27 17:20:08.429699898+01:00,4,4,1
2019-09-27 17:20:08.509550095+01:00,4,3,1
2019-09-27 17:20:08.529649973+01:00,4,4,1
2019-09-27 17:20:08.549449921+01:00,4,3,1
2019-09-27 17:20:08.589550018+01:00,4,3,1
2019-09-27 17:20:08.629499912+01:00,4,4,1
2019-09-27 17:20:08.709450006+01:00,4,3,1
2019-09-27 17:20:08.729850054+01:00,4,4,1
2019-09-27 17:20:08.749500036+01:00,4,3,1
2019-09-27 17:20:08.789499998+01:00,4,3,1
2019-09-27 17:20:08.829449892+01:00,4,4,1
2019-09-27 17:20:08.909499884+01:00,4,3,1
2019-09-27 17:20:08.929699898+01:00,4,4,1
2019-09-27 17:20:08.949749947+01:00,4,3,1
2019-09-27 17:20:08.989599943+01:00,4,3,1
2019-09-27 17:20:09.029500008+01:00,4,4,1
2019-09-27 17:20:09.069750071+01:00,4,3,1
2019-09-27 17:20:09.109549999+01:00,4,3,1
2019-09-27 17:20:09.129600048+01:00,4,4,1
2019-09-27 17:20:09.149549961+01:00,4,3,1
2019-09-27 17:20:09.189549923+01:00,4,3,1
2019-09-27 17:20:09.229949951+01:00,4,4,1
2019-09-27 17:20:09.309550047+01:00,4,3,1
2019-09-27 17:20:09.329600096+01:00,4,4,1
2019-09-27 17:20:09.349550009+01:00,4,3,1
2019-09-27 17:20:09.389549971+01:00,4,3,1
2019-09-27 17:20:09.429549932+01:00,4,4,1
2019-09-27 17:20:09.509749888+01:00,4,3,1
2019-09-27 17:20:09.529649973+01:00,4,4,1
2019-09-27 17:20:09.549799919+01:00,4,3,1
2019-09-27 17:20:09.589550018+01:00,4,3,1
2019-09-27 17:20:09.629549980+01:00,4,4,1
2019-09-27 17:20:09.709549904+01:00,4,3,1
2019-09-27 17:20:09.729899883+01:00,4,4,1
2019-09-27 17:20:09.749550104+01:00,4,3,1
2019-09-27 17:20:09.789649963+01:00,4,3,1
2019-09-27 17:20:09.829799891+01:00,4,4,1
2019-09-27 17:20:09.909600019+01:00,4,3,1
2019-09-27 17:20:09.929699898+01:00,4,4,1
2019-09-27 17:20:09.949599981+01:00,4,3,1
2019-09-27 17:20:09.989550114+01:00,4,3,1
2019-09-27 17:20:10.030200005+01:00,4,4,1
2019-09-27 17:20:10.069649935+01:00,4,3,1
2019-09-27 17:20:10.109600067+01:00,4,3,1
2019-09-27 17:20:10.129650116+01:00,4,4,1
2019-09-27 17:20:10.150000095+01:00,4,3,1
2019-09-27 17:20:10.189650059+01:00,4,3,1
2019-09-27 17:20:10.229899883+01:00,4,4,1
2019-09-27 17:20:10.309600115+01:00,4,3,1
2019-09-27 17:20:10.329900026+01:00,4,4,1
2019-09-27 17:20:10.349600077+01:00,4,3,1
2019-09-27 17:20:10.389600039+01:00,4,3,1
2019-09-27 17:20:10.431200027+01:00,4,4,1
2019-09-27 17:20:10.509649992+01:00,4,3,1
2019-09-27 17:20:10.530050039+01:00,4,4,1
2019-09-27 17:20:10.545599937+01:00,4,3,1
