timestamps,S1_PID_0B_IntakeManiAbsPress
2019-09-27 17:22:33.719449997+01:00,26
2019-09-27 17:22:33.919549942+01:00,26
2019-09-27 17:22:34.119750023+01:00,26
2019-09-27 17:22:34.319600105+01:00,26
2019-09-27 17:22:34.519500017+01:00,26
2019-09-27 17:22:34.719500065+01:00,26
2019-09-27 17:22:34.919549942+01:00,26
2019-09-27 17:22:35.119649887+01:00,26
2019-09-27 17:22:35.319550037+01:00,26
2019-09-27 17:22:35.519550085+01:00,26
2019-09-27 17:22:35.719549894+01:00,26
2019-09-27 17:22:35.919899940+01:00,26
2019-09-27 17:22:36.119649887+01:00,26
2019-09-27 17:22:36.319600105+01:00,26
2019-09-27 17:22:36.519599915+01:00,26
2019-09-27 17:22:36.719749928+01:00,26
2019-09-27 17:22:36.919650078+01:00,26
2019-09-27 17:22:37.119800091+01:00,26
2019-09-27 17:22:37.319849968+01:00,26
2019-09-27 17:22:37.520400047+01:00,27
2019-09-27 17:22:37.719949961+01:00,27
2019-09-27 17:22:37.919699907+01:00,27
2019-09-27 17:22:38.119800091+01:00,27
2019-09-27 17:22:38.319750071+01:00,27
2019-09-27 17:22:38.519799947+01:00,27
2019-09-27 17:22:38.719799995+01:00,27
2019-09-27 17:22:38.919800043+01:00,27
2019-09-27 17:22:39.120399952+01:00,27
2019-09-27 17:22:39.319900036+01:00,27
2019-09-27 17:22:39.519850016+01:00,27
2019-09-27 17:22:39.719850063+01:00,27
2019-09-27 17:22:39.920150042+01:00,27
2019-09-27 17:22:40.119899988+01:00,27
2019-09-27 17:22:40.319950104+01:00,27
2019-09-27 17:22:40.519999981+01:00,27
2019-09-27 17:22:40.720249891+01:00,27
2019-09-27 17:22:40.920000076+01:00,29
2019-09-27 17:22:41.119950056+01:00,27
2019-09-27 17:22:41.320050001+01:00,27
2019-09-27 17:22:41.520100117+01:00,27
2019-09-27 17:22:41.720099926+01:00,28
2019-09-27 17:22:41.920049906+01:00,28
2019-09-27 17:22:42.120049953+01:00,28
2019-09-27 17:22:42.320050001+01:00,28
2019-09-27 17:22:42.520050048+01:00,31
2019-09-27 17:22:42.720050097+01:00,37
2019-09-27 17:22:42.920249939+01:00,42
2019-09-27 17:22:43.120100021+01:00,41
2019-09-27 17:22:43.320149899+01:00,38
2019-09-27 17:22:43.520499944+01:00,37
2019-09-27 17:22:43.720099926+01:00,37
2019-09-27 17:22:43.920150042+01:00,36
2019-09-27 17:22:44.120199919+01:00,36
2019-09-27 17:22:44.320199966+01:00,35
2019-09-27 17:22:44.520149946+01:00,34
2019-09-27 17:22:44.720200062+01:00,33
2019-09-27 17:22:44.920200109+01:00,33
2019-09-27 17:22:45.120249987+01:00,32
2019-09-27 17:22:45.320250034+01:00,31
2019-09-27 17:22:45.520250082+01:00,32
2019-09-27 17:22:45.720299959+01:00,32
2019-09-27 17:22:45.920300007+01:00,33
2019-09-27 17:22:46.120300055+01:00,39
2019-09-27 17:22:46.320300102+01:00,45
2019-09-27 17:22:46.520299910+01:00,44
2019-09-27 17:22:46.720350027+01:00,47
2019-09-27 17:22:46.920350075+01:00,46
2019-09-27 17:22:47.120399952+01:00,46
2019-09-27 17:22:47.320349932+01:00,45
2019-09-27 17:22:47.520400047+01:00,46
2019-09-27 17:22:47.920399904+01:00,46
2019-09-27 17:22:48.120450020+01:00,46
2019-09-27 17:22:48.320450068+01:00,45
2019-09-27 17:22:48.520450115+01:00,45
2019-09-27 17:22:48.720449924+01:00,45
2019-09-27 17:22:48.920449972+01:00,46
2019-09-27 17:22:49.120500088+01:00,45
2019-09-27 17:22:49.320549965+01:00,45
2019-09-27 17:22:49.520550013+01:00,45
2019-09-27 17:22:49.720550060+01:00,45
2019-09-27 17:22:49.920550108+01:00,44
2019-09-27 17:22:50.120599985+01:00,44
2019-09-27 17:22:50.320600033+01:00,44
2019-09-27 17:22:50.520649910+01:00,44
