sampno,vehno
1236363,2.0
1238983,1.0
1238983,2.0
1238983,3.0
1244027,1.0
1244027,2.0
1250861,1.0
1250861,2.0
1250861,3.0
1251576,1.0
1251576,2.0
1257080,1.0
1257080,2.0
1260320,1.0
1260320,2.0
1272132,1.0
1272132,2.0
1272132,3.0
1273389,1.0
1273389,2.0
1278883,1.0
1278883,2.0
1279531,1.0
1279975,1.0
1279975,2.0
1279975,3.0
1285702,1.0
1285702,2.0
1286882,1.0
1286882,2.0
1295880,1.0
1295880,2.0
1298945,1.0
1298945,2.0
1299790,1.0
1299790,2.0
1299790,3.0
1310943,1.0
1310943,2.0
1313990,1.0
1313990,2.0
1314069,1.0
1314069,2.0
1314636,1.0
1314636,2.0
1314738,1.0
1315707,1.0
1320761,1.0
1321010,1.0
1325645,1.0
1328119,1.0
1332121,1.0
1332121,2.0
1332121,3.0
1332873,1.0
1334644,1.0
1334644,2.0
1336279,1.0
1337344,1.0
1337688,1.0
1337688,2.0
1338349,1.0
1338349,2.0
1338349,3.0
1338416,1.0
1338534,1.0
1339132,1.0
1339132,2.0
1340013,1.0
1340845,1.0
1340845,2.0
1340932,1.0
1341037,1.0
1341037,2.0
1341204,1.0
1341204,2.0
1341363,1.0
1342315,1.0
1342315,2.0
1343847,1.0
1344662,1.0
1344769,1.0
1345743,1.0
1345775,1.0
1345775,2.0
1346810,1.0
1346810,2.0
1347130,1.0
1347130,2.0
1347183,1.0
1347183,2.0
1347183,3.0
1347183,4.0
1350517,1.0
1350517,2.0
1350566,1.0
1351908,1.0
1351908,2.0
1352194,1.0
1352533,1.0
1352533,2.0
1352533,3.0
1352533,4.0
1352533,5.0
1352923,1.0
1353490,1.0
1354121,1.0
1354979,1.0
1356495,1.0
1356495,2.0
1358339,1.0
1358609,1.0
1359290,1.0
1359290,2.0
1359290,3.0
1359290,4.0
1360148,1.0
1360148,2.0
1360586,1.0
1360586,2.0
1360586,3.0
1360586,4.0
1360702,1.0
1360702,2.0
1361138,1.0
1361446,1.0
1361446,2.0
1361738,1.0
1362030,1.0
1362030,2.0
1362033,1.0
1362033,2.0
1362054,1.0
1362054,2.0
1362274,1.0
1362367,1.0
1362661,1.0
1362661,2.0
1363204,1.0
1363204,2.0
1363204,3.0
1363307,1.0
1363307,2.0
1363366,1.0
1363366,2.0
1363366,3.0
1363489,1.0
1365531,1.0
1365531,2.0
1365986,1.0
1365986,2.0
1365993,1.0
1365993,2.0
1365993,3.0
1366939,1.0
1366939,2.0
1366939,3.0
1367157,1.0
1367157,2.0
1367157,3.0
1368785,1.0
1368976,1.0
1368976,2.0
1368976,3.0
1369888,1.0
1369888,2.0
1371563,1.0
1372257,1.0
1372554,1.0
1372959,1.0
1373296,1.0
1373296,2.0
1373349,1.0
1373349,2.0
1373349,3.0
1373589,1.0
1373589,2.0
1374699,1.0
1374699,2.0
1376434,1.0
1376434,2.0
1376619,1.0
1380554,1.0
1381373,1.0
1381373,2.0
1381373,3.0
1381548,1.0
1381548,2.0
1381850,1.0
1383582,1.0
1383582,2.0
1383691,1.0
1383691,2.0
1384896,1.0
1385092,1.0
1385092,2.0
1385092,3.0
1386504,1.0
1386504,2.0
1386504,3.0
1386504,4.0
1389838,1.0
1390098,1.0
1390098,2.0
1391691,1.0
1391691,2.0
1392234,1.0
1392234,2.0
1392270,1.0
1392270,2.0
1392270,3.0
1392824,1.0
1393021,1.0
1393605,1.0
1393605,2.0
1393605,3.0
1393824,1.0
1394028,1.0
1394028,2.0
1394028,3.0
1394396,1.0
1394396,2.0
1395579,1.0
1395658,1.0
1395658,2.0
1396342,1.0
1396342,2.0
1397048,1.0
1397112,1.0
1397112,2.0
1398356,1.0
1398356,2.0
1398356,3.0
1399033,1.0
1399033,2.0
1399491,1.0
1399491,2.0
2597137,1.0
1399714,1.0
1399714,2.0
1400149,1.0
1400149,2.0
1400644,1.0
1400916,1.0
1401458,1.0
1401458,2.0
1402701,1.0
1402701,2.0
1403033,1.0
1403033,2.0
1403083,1.0
1403767,1.0
1403799,1.0
1403799,2.0
1403799,3.0
1404479,1.0
1404479,2.0
1405037,1.0
